,scene,role,cmd_mode,cmd,scene_estimation_mode,n_updates,scene_est,scene_conf
158,lab,supervisor,gest_verb,move-forward,clip,25,lab,1.0
159,lab,supervisor,gest_verb,move-forward,fused,27,lab,1.0
160,lab,supervisor,gest_verb,move-forward,audio,26,lab,0.999999999996531
161,lab,supervisor,gest_verb,move-forward,clip,26,lab,1.0
162,lab,supervisor,gest_verb,move-forward,fused,28,lab,1.0
163,lab,supervisor,gest_verb,follow-me,fused,1,lab,0.4310223003573736
164,lab,supervisor,gest_verb,follow-me,audio,1,lab,0.5560643608152189
165,lab,supervisor,gest_verb,follow-me,clip,1,lab,0.6782940622527395
166,lab,supervisor,gest_verb,follow-me,audio,2,lab,0.9353260675847628
167,lab,supervisor,gest_verb,follow-me,audio,3,lab,0.9827301445967085
168,lab,supervisor,gest_verb,follow-me,fused,2,lab,0.8313119228739515
169,lab,supervisor,gest_verb,follow-me,audio,4,lab,0.9942994505459115
170,lab,supervisor,gest_verb,follow-me,clip,2,lab,0.9577766671563149
171,lab,supervisor,gest_verb,follow-me,fused,3,lab,0.9304280880447502
172,lab,supervisor,gest_verb,follow-me,audio,5,lab,0.9994195446219495
173,lab,supervisor,gest_verb,follow-me,clip,3,lab,0.9989034751410802
174,lab,supervisor,gest_verb,follow-me,fused,4,lab,0.9977844674811268
175,lab,supervisor,gest_verb,follow-me,audio,6,lab,0.9999416152384819
176,lab,supervisor,gest_verb,follow-me,clip,4,lab,0.9999172542752759
177,lab,supervisor,gest_verb,follow-me,fused,5,lab,0.9996930599076362
178,lab,supervisor,gest_verb,follow-me,audio,7,lab,0.9999965179240002
179,lab,supervisor,gest_verb,follow-me,fused,6,lab,0.999974021018791
180,lab,supervisor,gest_verb,follow-me,clip,5,lab,0.9999834683896434
181,lab,supervisor,gest_verb,follow-me,audio,8,lab,0.9999996854168424
182,lab,supervisor,gest_verb,follow-me,fused,7,lab,0.999997399535831
183,lab,supervisor,gest_verb,follow-me,clip,6,lab,0.9999987167436641
184,lab,supervisor,gest_verb,follow-me,audio,9,lab,0.9999999693454504
185,lab,supervisor,gest_verb,follow-me,fused,8,lab,0.9999997640611127
186,lab,supervisor,gest_verb,follow-me,clip,7,lab,0.9999998695605232
187,lab,supervisor,gest_verb,follow-me,audio,10,lab,0.9999999847078407
188,lab,supervisor,gest_verb,follow-me,fused,9,lab,0.9999998795088296
189,lab,supervisor,gest_verb,follow-me,clip,8,lab,0.9999999922535656
190,lab,supervisor,gest_verb,follow-me,audio,11,lab,0.9999999975483177
191,lab,supervisor,gest_verb,follow-me,fused,10,lab,0.9999999911796977
192,lab,supervisor,gest_verb,follow-me,clip,9,lab,0.9999999984672597
193,lab,supervisor,gest_verb,follow-me,audio,12,lab,0.9999999997104391
194,lab,supervisor,gest_verb,follow-me,fused,11,lab,0.9999999988922942
195,lab,supervisor,gest_verb,follow-me,clip,10,lab,0.9999999996119345
196,lab,supervisor,gest_verb,follow-me,audio,13,lab,0.9999999999656746
197,lab,supervisor,gest_verb,follow-me,fused,12,lab,0.9999999997513004
198,lab,supervisor,gest_verb,follow-me,clip,11,lab,0.9999999998931632
199,lab,supervisor,gest_verb,follow-me,audio,14,lab,0.9999999999957547
200,lab,supervisor,gest_verb,follow-me,fused,13,lab,0.9999999999682785
201,lab,supervisor,gest_verb,follow-me,clip,12,lab,0.9999999999971991
202,lab,supervisor,gest_verb,follow-me,audio,15,lab,0.9999999999982216
203,lab,supervisor,gest_verb,follow-me,fused,14,lab,0.9999999999990126
204,lab,supervisor,gest_verb,follow-me,clip,13,lab,0.9999999999998723
205,lab,supervisor,gest_verb,follow-me,audio,16,lab,0.9999999999997465
206,lab,supervisor,gest_verb,follow-me,fused,15,lab,0.9999999999998563
207,lab,supervisor,gest_verb,follow-me,clip,14,lab,0.9999999999999793
208,lab,supervisor,gest_verb,follow-me,audio,17,lab,0.9999999999999614
209,lab,supervisor,gest_verb,follow-me,fused,16,lab,0.9999999999999761
210,lab,supervisor,gest_verb,follow-me,clip,15,lab,0.9999999999999972
211,lab,supervisor,gest_verb,follow-me,audio,18,lab,0.9999999999999929
212,lab,supervisor,gest_verb,follow-me,fused,17,lab,0.9999999999999959
213,lab,supervisor,gest_verb,follow-me,clip,16,lab,0.9999999999999997
214,lab,supervisor,gest_verb,follow-me,audio,19,lab,0.9999999999999978
215,lab,supervisor,gest_verb,follow-me,fused,18,lab,0.9999999999999993
216,lab,supervisor,gest_verb,follow-me,clip,17,lab,1.0
217,lab,supervisor,gest_verb,follow-me,audio,20,lab,0.9999999999999994
218,lab,supervisor,gest_verb,follow-me,fused,19,lab,0.9999999999999998
219,lab,supervisor,gest_verb,follow-me,clip,18,lab,1.0
220,lab,supervisor,gest_verb,follow-me,audio,21,lab,0.9999999999999999
221,lab,supervisor,gest_verb,follow-me,fused,20,lab,1.0
222,lab,supervisor,gest_verb,follow-me,clip,19,lab,1.0
223,lab,supervisor,gest_verb,follow-me,audio,22,lab,1.0
224,lab,supervisor,gest_verb,follow-me,fused,21,lab,1.0
225,lab,supervisor,gest_verb,follow-me,clip,20,lab,1.0
226,lab,supervisor,gest_verb,follow-me,audio,23,lab,1.0
