,scene,role,cmd_mode,cmd,scene_estimation_mode,n_updates,scene_est,scene_conf
162,lab,supervisor,gest_verb,move-forward,audio,26,lab,0.9999999999997906
163,lab,supervisor,gest_verb,move-forward,clip,26,lab,1.0
164,lab,supervisor,gest_verb,move-forward,fused,28,lab,1.0
165,lab,supervisor,gest_verb,follow-me,fused,1,lab,0.5010915391630879
166,lab,supervisor,gest_verb,follow-me,audio,1,lab,0.6562867783899158
167,lab,supervisor,gest_verb,follow-me,clip,1,lab,0.687370664895112
168,lab,supervisor,gest_verb,follow-me,audio,2,lab,0.9734461848366154
169,lab,supervisor,gest_verb,follow-me,audio,3,lab,0.9951768679665436
170,lab,supervisor,gest_verb,follow-me,fused,2,lab,0.8754233827476491
171,lab,supervisor,gest_verb,follow-me,audio,4,lab,0.9989494917288719
172,lab,supervisor,gest_verb,follow-me,clip,2,lab,0.9604080568256818
173,lab,supervisor,gest_verb,follow-me,fused,3,lab,0.9704170969751261
174,lab,supervisor,gest_verb,follow-me,audio,5,lab,0.9998586506672784
175,lab,supervisor,gest_verb,follow-me,clip,3,lab,0.9989149774326138
176,lab,supervisor,gest_verb,follow-me,fused,4,lab,0.9990276138282203
177,lab,supervisor,gest_verb,follow-me,audio,6,lab,0.9999844556126819
178,lab,supervisor,gest_verb,follow-me,clip,4,lab,0.9999292000518266
179,lab,supervisor,gest_verb,follow-me,fused,5,lab,0.9998894159556233
180,lab,supervisor,gest_verb,follow-me,audio,7,lab,0.9999984337652621
181,lab,supervisor,gest_verb,follow-me,clip,5,lab,0.9999858173902768
182,lab,supervisor,gest_verb,follow-me,fused,6,lab,0.9999807887108854
183,lab,supervisor,gest_verb,follow-me,audio,8,lab,0.9999997951075302
184,lab,supervisor,gest_verb,follow-me,clip,6,lab,0.9999989895181092
185,lab,supervisor,gest_verb,follow-me,fused,7,lab,0.999997572441967
186,lab,supervisor,gest_verb,follow-me,audio,9,lab,0.9999999763061013
187,lab,supervisor,gest_verb,follow-me,clip,7,lab,0.9999999014738963
188,lab,supervisor,gest_verb,follow-me,fused,8,lab,0.999999756829351
189,lab,supervisor,gest_verb,follow-me,audio,10,lab,0.9999999869624767
190,lab,supervisor,gest_verb,follow-me,clip,8,lab,0.9999999948182727
191,lab,supervisor,gest_verb,follow-me,fused,9,lab,0.9999998670537839
192,lab,supervisor,gest_verb,follow-me,audio,11,lab,0.9999999979790054
193,lab,supervisor,gest_verb,follow-me,clip,9,lab,0.9999999989841184
194,lab,supervisor,gest_verb,follow-me,fused,10,lab,0.9999999765659897
195,lab,supervisor,gest_verb,follow-me,audio,12,lab,0.9999999996014932
196,lab,supervisor,gest_verb,follow-me,clip,10,lab,0.9999999997324293
197,lab,supervisor,gest_verb,follow-me,fused,11,lab,0.9999999953105654
198,lab,supervisor,gest_verb,follow-me,audio,13,lab,0.9999999999563252
199,lab,supervisor,gest_verb,follow-me,clip,11,lab,0.9999999999250988
200,lab,supervisor,gest_verb,follow-me,fused,12,lab,0.9999999988682985
201,lab,supervisor,gest_verb,follow-me,audio,14,lab,0.9999999999950897
202,lab,supervisor,gest_verb,follow-me,clip,12,lab,0.9999999999981352
203,lab,supervisor,gest_verb,follow-me,fused,13,lab,0.9999999998724926
