,scene,role,cmd_mode,cmd,scene_estimation_mode,n_updates,scene_est,scene_conf
138,lab,supervisor,gest_verb,move-forward,audio,18,lab,0.9999999758867895
139,lab,supervisor,gest_verb,move-forward,clip,18,lab,0.9441712263892296
140,lab,supervisor,gest_verb,move-forward,fused,20,lab,0.9999800265017971
141,lab,supervisor,gest_verb,move-forward,audio,19,lab,0.9999999974924787
142,lab,supervisor,gest_verb,move-forward,clip,19,lab,0.9520177324925149
143,lab,supervisor,gest_verb,move-forward,fused,21,lab,0.9999829751294377
144,lab,supervisor,gest_verb,move-forward,audio,20,lab,0.9999999992114139
145,lab,supervisor,gest_verb,move-forward,clip,20,lab,0.9584282539389027
146,lab,supervisor,gest_verb,move-forward,fused,22,lab,0.9999946444493708
147,lab,supervisor,gest_verb,move-forward,audio,21,lab,0.9999999999035798
148,lab,supervisor,gest_verb,move-forward,clip,21,lab,0.9640987976535738
149,lab,supervisor,gest_verb,move-forward,fused,23,lab,0.9999954021663658
150,lab,supervisor,gest_verb,move-forward,fused,24,lab,0.9999994377726364
151,lab,supervisor,gest_verb,move-forward,clip,22,lab,0.9691165812223136
152,lab,supervisor,gest_verb,move-forward,audio,22,lab,0.9999999999877524
153,lab,supervisor,gest_verb,move-forward,audio,23,lab,0.9999999999964285
154,lab,supervisor,gest_verb,move-forward,fused,25,lab,0.9999995188572922
155,lab,supervisor,gest_verb,move-forward,clip,23,lab,0.9736107551331639
156,lab,supervisor,gest_verb,move-forward,audio,24,lab,0.9999999999995476
157,lab,supervisor,gest_verb,move-forward,fused,26,lab,0.9999999390608891
158,lab,supervisor,gest_verb,move-forward,clip,24,lab,0.9774959674037648
159,lab,supervisor,gest_verb,move-forward,audio,25,lab,0.9999999999999534
160,lab,supervisor,gest_verb,move-forward,fused,27,lab,0.9999999482393298
161,lab,supervisor,gest_verb,move-forward,clip,25,lab,0.9807543153815247
162,lab,supervisor,gest_verb,move-forward,fused,28,lab,0.9999999946669992
163,lab,supervisor,gest_verb,move-forward,audio,26,lab,0.9999999999999813
164,lab,supervisor,gest_verb,move-forward,clip,26,lab,0.9832325944085513
165,lab,supervisor,gest_verb,move-forward,fused,29,lab,0.9999999953654441
166,lab,supervisor,gest_verb,follow-me,fused,1,lab,0.5025875864086466
167,lab,supervisor,gest_verb,follow-me,audio,1,lab,0.44060793168502926
168,lab,supervisor,gest_verb,follow-me,clip,1,lab,0.5331744099755628
169,lab,supervisor,gest_verb,follow-me,audio,2,lab,0.9300772153835676
170,lab,supervisor,gest_verb,follow-me,audio,3,lab,0.9461118163296122
171,lab,supervisor,gest_verb,follow-me,fused,2,lab,0.7411853316009255
172,lab,supervisor,gest_verb,follow-me,audio,4,lab,0.9821498854732598
173,lab,supervisor,gest_verb,follow-me,clip,2,lab,0.5726271816387895
174,lab,supervisor,gest_verb,follow-me,fused,3,lab,0.9324964595427262
175,lab,supervisor,gest_verb,follow-me,audio,5,lab,0.9900212366461005
176,lab,supervisor,gest_verb,follow-me,clip,3,lab,0.6103507410495632
177,lab,supervisor,gest_verb,follow-me,fused,4,lab,0.9424370176379092
178,lab,supervisor,gest_verb,follow-me,audio,6,lab,0.998979579844775
179,lab,supervisor,gest_verb,follow-me,clip,4,lab,0.645737184134942
180,lab,supervisor,gest_verb,follow-me,fused,5,lab,0.9882741121625636
181,lab,supervisor,gest_verb,follow-me,audio,7,lab,0.999938346912248
182,lab,supervisor,gest_verb,follow-me,clip,5,lab,0.676792885747641
183,lab,supervisor,gest_verb,follow-me,fused,6,lab,0.9897775412877179
184,lab,supervisor,gest_verb,follow-me,audio,8,lab,0.9999956962760851
185,lab,supervisor,gest_verb,follow-me,clip,6,lab,0.7089019367894527
186,lab,supervisor,gest_verb,follow-me,fused,7,lab,0.9988865497006435
187,lab,supervisor,gest_verb,follow-me,audio,9,lab,0.9999993806349894
188,lab,supervisor,gest_verb,follow-me,clip,7,lab,0.7387610135055084
189,lab,supervisor,gest_verb,follow-me,fused,8,lab,0.9990409995119771
190,lab,supervisor,gest_verb,follow-me,audio,10,lab,0.999999810873961
191,lab,supervisor,gest_verb,follow-me,clip,8,lab,0.7672978076896582
192,lab,supervisor,gest_verb,follow-me,fused,9,lab,0.9996927319904305
193,lab,supervisor,gest_verb,follow-me,audio,11,lab,0.9999999653522514
194,lab,supervisor,gest_verb,follow-me,clip,9,lab,0.7910046417347987
195,lab,supervisor,gest_verb,follow-me,fused,10,lab,0.9997322955285003
196,lab,supervisor,gest_verb,follow-me,audio,12,lab,0.9999999971185312
197,lab,supervisor,gest_verb,follow-me,clip,10,lab,0.8121639220783711
198,lab,supervisor,gest_verb,follow-me,fused,11,lab,0.9999698052198176
199,lab,supervisor,gest_verb,follow-me,audio,13,lab,0.9999999995783707
200,lab,supervisor,gest_verb,follow-me,clip,11,lab,0.830735848009538
201,lab,supervisor,gest_verb,follow-me,fused,12,lab,0.9999733988658636
202,lab,supervisor,gest_verb,follow-me,audio,14,lab,0.9999999999449657
203,lab,supervisor,gest_verb,follow-me,clip,12,lab,0.85218915297856
204,lab,supervisor,gest_verb,follow-me,fused,13,lab,0.9999951392731312
205,lab,supervisor,gest_verb,follow-me,audio,15,lab,0.9999999999884696
206,lab,supervisor,gest_verb,follow-me,clip,13,lab,0.8709912361355413
207,lab,supervisor,gest_verb,follow-me,fused,14,lab,0.9999958491537083
208,lab,supervisor,gest_verb,follow-me,audio,16,lab,0.9999999999990402
209,lab,supervisor,gest_verb,follow-me,clip,14,lab,0.8858363229681102
210,lab,supervisor,gest_verb,follow-me,fused,15,lab,0.9999995183505077
211,lab,supervisor,gest_verb,follow-me,audio,17,lab,0.9999999999998866
212,lab,supervisor,gest_verb,follow-me,clip,15,lab,0.8997232206263368
213,lab,supervisor,gest_verb,follow-me,fused,16,lab,0.9999995834682422
214,lab,supervisor,gest_verb,follow-me,audio,18,lab,0.9999999999999744
215,lab,supervisor,gest_verb,follow-me,fused,17,lab,0.9999999310369834
216,lab,supervisor,gest_verb,follow-me,clip,16,lab,0.9119392143787284
217,lab,supervisor,gest_verb,follow-me,audio,19,lab,0.999999999999945
218,lab,supervisor,gest_verb,follow-me,fused,18,lab,0.99999994024951
219,lab,supervisor,gest_verb,follow-me,clip,17,lab,0.9235911546548958
220,lab,supervisor,gest_verb,follow-me,audio,20,lab,0.9999999999999893
221,lab,supervisor,gest_verb,follow-me,fused,19,lab,0.9999999876257984
222,lab,supervisor,gest_verb,follow-me,clip,18,lab,0.9343051699497712
223,lab,supervisor,gest_verb,follow-me,audio,21,lab,0.9999999999999934
224,lab,supervisor,gest_verb,follow-me,fused,20,lab,0.999999989482906
225,lab,supervisor,gest_verb,follow-me,clip,19,lab,0.9436357093715296
226,lab,supervisor,gest_verb,follow-me,audio,22,lab,0.999999999999999
227,lab,supervisor,gest_verb,follow-me,fused,21,lab,0.9999999984674762
228,lab,supervisor,gest_verb,follow-me,clip,20,lab,0.9515784821072885
229,lab,supervisor,gest_verb,follow-me,audio,23,lab,0.9999999999999996
230,lab,supervisor,gest_verb,follow-me,fused,22,lab,0.9999999986944266
231,lab,supervisor,gest_verb,follow-me,clip,21,lab,0.9578812365553261
232,lab,supervisor,gest_verb,follow-me,audio,24,lab,0.9999999999999997
233,lab,supervisor,gest_verb,follow-me,fused,23,lab,0.9999999991335522
234,lab,supervisor,gest_verb,follow-me,audio,25,lab,1.0
235,lab,supervisor,gest_verb,follow-me,clip,22,lab,0.9633255284954004
236,lab,supervisor,gest_verb,follow-me,fused,24,lab,0.9999999992498134
237,lab,supervisor,gest_verb,follow-me,audio,26,lab,1.0
238,lab,supervisor,gest_verb,follow-me,clip,23,lab,0.9684163490285522
239,lab,supervisor,gest_verb,follow-me,fused,25,lab,0.9999999999219635
240,lab,supervisor,gest_verb,follow-me,audio,27,lab,1.0
241,lab,supervisor,gest_verb,follow-me,clip,24,lab,0.9728645378701879
242,lab,supervisor,gest_verb,follow-me,fused,26,lab,0.9999999999332606
243,lab,supervisor,gest_verb,follow-me,audio,28,lab,1.0
244,lab,supervisor,gest_verb,follow-me,clip,25,lab,0.9767116500719398
245,lab,supervisor,gest_verb,follow-me,fused,27,lab,0.9999999999852536
246,lab,supervisor,gest_verb,follow-me,audio,29,lab,1.0
